Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
BU 3071|Боинг-777|106|Москва|Внуково|Пермь|Большое Савино|04.11.2020 7:42:00|04.11.2020 11:36:00|
RT 0865|Боинг-767|129|Самара|Самара|Минеральные Воды|Минеральные Воды|04.11.2020 10:36:00|04.11.2020 14:52:00|
TJ 7050|ИЛ-86|96|Ростов - на - Дону|Платов|Магнитогорск|Магнитогорск|04.11.2020 10:59:00|04.11.2020 14:44:00|
FE 4201|Аэробус-A310|167|Курган|Курган|Кемерово|Кемерово|04.11.2020 20:28:00|04.11.2020 22:25:00|
RH 9289|ИЛ-96|170|Якутск|Якутск|Магадан|Сокол|04.11.2020 10:24:00|04.11.2020 11:35:00|
IP 7476|Боинг-747|295|Архангельск|Талаги|Улан - Удэ|Мухино|04.11.2020 20:24:00|04.11.2020 22:50:00|
UQ 9839|ИЛ-96М|220|Чебоксары|Чебоксары|Симферополь|Симферополь|04.11.2020 0:24:00|04.11.2020 3:24:00|
FG 7570|Боинг-747|296|Чебоксары|Чебоксары|Калуга|Грабцево|04.11.2020 4:50:00|04.11.2020 7:46:00|
UK 2071|Боинг-747|193|Самара|Самара|Москва|Жуковский|04.11.2020 23:06:00|05.11.2020 4:01:00|
FV 7366|Ту-134|48|Братск|Братск|Калуга|Грабцево|04.11.2020 5:31:00|04.11.2020 6:55:00|
CG 3377|Ту-134|88|Сабетта|Сабетта|Хабаровск|Хабаровск-Новый|04.11.2020 1:49:00|04.11.2020 6:41:00|
VH 0817|ИЛ-96|149|Нижний Новгород|Стригино|Якутск|Якутск|04.11.2020 5:32:00|04.11.2020 9:06:00|
DX 1130|ИЛ-96М|335|Курск|Восточный|Калуга|Грабцево|04.11.2020 3:20:00|04.11.2020 7:03:00|
YE 0897|ИЛ-96М|325|Улан - Удэ|Мухино|Мурманск|Мурманск|04.11.2020 6:17:00|04.11.2020 7:50:00|
AR 3351|Боинг-737|42|Красноярск|Емельяново|Казань|Казань|04.11.2020 16:30:00|04.11.2020 19:26:00|
QU 2538|ИЛ-96-300|159|Пермь|Большое Савино|Курган|Курган|04.11.2020 15:39:00|04.11.2020 16:39:00|
FQ 0639|Боинг-747|142|Петропавловск - Камчатский|Елизово|Москва|Жуковский|04.11.2020 7:01:00|04.11.2020 10:45:00|
QG 5984|ИЛ-86|203|Санкт - Петербург|Пулково|Краснодар|Пашковский|04.11.2020 8:16:00|04.11.2020 9:49:00|
AC 6887|Аэробус-A320|181|Пермь|Большое Савино|Сургут|Сургут|04.11.2020 2:39:00|04.11.2020 7:17:00|
XJ 2389|ИЛ-96М|324|Уфа|Уфа|Челябинск|Баландино|04.11.2020 20:40:00|04.11.2020 23:29:00|
UO 5876|ИЛ-86|135|Нижневартовск|Нижневартовск|Астрахань|Нариманово|04.11.2020 13:46:00|04.11.2020 17:17:00|
JP 1474|ИЛ-62|190|Петропавловск - Камчатский|Елизово|Курумоч|Курумоч|04.11.2020 6:18:00|04.11.2020 9:08:00|
PZ 4588|Ту-204|117|Мурманск|Мурманск|Курган|Курган|04.11.2020 1:45:00|04.11.2020 2:59:00|
SI 7356|Аэробус-A310|78|Магнитогорск|Магнитогорск|Владивосток|Кневичи|04.11.2020 12:26:00|04.11.2020 13:58:00|
PA 5662|ИЛ-96М|209|Краснодар|Пашковский|Петропавловск - Камчатский|Елизово|04.11.2020 16:55:00|04.11.2020 18:34:00|
LH 2100|Аэробус-A320|208|Анапа|Витязево|Якутск|Якутск|04.11.2020 5:18:00|04.11.2020 6:41:00|
HL 2069|Ту-154 |130|Москва|Шереметьево|Сочи|Адлер|04.11.2020 20:49:00|05.11.2020 0:31:00|
CY 7160|ИЛ-96|107|Элиста|Элиста|Ярославль|Туношна|04.11.2020 21:12:00|04.11.2020 22:30:00|
DX 4342|ИЛ-86|212|Псков|Кресты|Ульяновск|Баратаевка|04.11.2020 23:16:00|05.11.2020 4:14:00|
LC 4284|ИЛ-86|179|Екатеринбург|Кольцово|Москва|Шереметьево|04.11.2020 22:52:00|05.11.2020 1:04:00|
TN 6663|Боинг-737|76|Нижнекамск|Бегишево|Курск|Восточный|04.11.2020 8:06:00|04.11.2020 10:21:00|
GF 1138|Боинг-767|195|Курск|Восточный|Оренбург|Оренбург-Центральный|04.11.2020 0:40:00|04.11.2020 2:12:00|
DV 6234|ИЛ-96-300|104|Благовещенск|Игнатьево|Майкоп|Майкоп|04.11.2020 20:00:00|04.11.2020 21:35:00|
HD 4240|Ту-204|146|Уфа|Уфа|Томск|Богашёво|04.11.2020 5:01:00|04.11.2020 6:16:00|
EM 6836|Боинг-777|161|Ханты - Мансийск|Ханты - Мансийск|Череповец|Череповец|04.11.2020 20:13:00|05.11.2020 1:11:00|
CJ 1412|Ту-204|99|Грозный|Северный|Москва|Внуково|04.11.2020 5:05:00|04.11.2020 6:21:00|
NF 5604|Сc-100|47|Махачкала|Уйташ|Нальчик|Нальчик|04.11.2020 12:13:00|04.11.2020 13:13:00|
YW 5756|Боинг-777|151|Казань|Казань|Новокузнецк|Спиченково|04.11.2020 8:23:00|04.11.2020 12:02:00|
MC 8954|Боинг-737|58|Саратов|Гагарин|Москва|Жуковский|04.11.2020 23:17:00|05.11.2020 3:44:00|
AM 7416|Сc-100|38|Белгород|Белгород|Владивосток|Кневичи|04.11.2020 15:28:00|04.11.2020 19:59:00|
HE 5792|Сc-100|57|Нальчик|Нальчик|Махачкала|Уйташ|04.11.2020 10:29:00|04.11.2020 15:01:00|
ES 6466|ИЛ-96|138|Екатеринбург|Кольцово|Ярославль|Туношна|04.11.2020 18:47:00|04.11.2020 21:15:00|
LR 5871|ИЛ-96|143|Сыктывкар|Сыктывкар|Сабетта|Сабетта|04.11.2020 17:01:00|04.11.2020 19:49:00|
ZE 4962|Боинг-777|116|Омск|Омск-Центральный|Сыктывкар|Сыктывкар|04.11.2020 10:36:00|04.11.2020 13:46:00|
QW 2417|Боинг-767|185|Нижнекамск|Бегишево|Астрахань|Нариманово|04.11.2020 21:35:00|05.11.2020 1:20:00|
UW 1379|ИЛ-96-300|106|Уфа|Уфа|Магадан|Сокол|04.11.2020 5:16:00|04.11.2020 7:50:00|
DC 0130|ИЛ-62|80|Волгоград|Гумрак|Майкоп|Майкоп|04.11.2020 11:23:00|04.11.2020 14:34:00|
NE 8205|ИЛ-86|294|Анадырь|Угольный|Чебоксары|Чебоксары|04.11.2020 2:13:00|04.11.2020 3:14:00|
DT 3160|Ту-154 |126|Курган|Курган|Братск|Братск|04.11.2020 12:19:00|04.11.2020 16:08:00|
XO 5066|Боинг-767|118|Анадырь|Угольный|Магадан|Сокол|04.11.2020 7:37:00|04.11.2020 9:56:00|
JN 4499|Боинг-777|127|Петрозаводск|Петрозаводск|Братск|Братск|04.11.2020 18:00:00|04.11.2020 21:44:00|
DI 8602|Боинг-767|131|Сургут|Сургут|Анапа|Витязево|04.11.2020 9:55:00|04.11.2020 11:49:00|
AI 7480|ИЛ-96М|240|Майкоп|Майкоп|Воронеж|Чертовицкое|04.11.2020 5:50:00|04.11.2020 7:35:00|
GA 3227|Ту-154 |157|Грозный|Северный|Сабетта|Сабетта|04.11.2020 9:23:00|04.11.2020 11:44:00|
QL 0891|ИЛ-96М|339|Оренбург|Оренбург-Центральный|Ростов - на - Дону|Платов|04.11.2020 14:08:00|04.11.2020 16:15:00|
KD 3105|Боинг-737|98|Сочи|Адлер|Новокузнецк|Спиченково|04.11.2020 23:34:00|05.11.2020 3:50:00|
HV 2263|Ту-154 |100|Астрахань|Нариманово|Ульяновск|Баратаевка|04.11.2020 8:30:00|04.11.2020 10:32:00|
RI 5977|Ту-154 |149|Белгород|Белгород|Петрозаводск|Петрозаводск|04.11.2020 16:04:00|04.11.2020 19:19:00|
CH 5210|ИЛ-62|72|Нижневартовск|Нижневартовск|Самара|Самара|04.11.2020 10:20:00|04.11.2020 11:24:00|
UW 7669|Аэробус-A310|161|Москва|Шереметьево|Нижнекамск|Бегишево|04.11.2020 7:46:00|04.11.2020 11:56:00|
YD 8525|Ту-204|73|Новокузнецк|Спиченково|Нальчик|Нальчик|04.11.2020 22:47:00|05.11.2020 2:27:00|
IY 1660|Аэробус-A320|208|Новокузнецк|Спиченково|Ярославль|Туношна|04.11.2020 3:27:00|04.11.2020 8:15:00|
LD 7302|ИЛ-96-300|147|Уфа|Уфа|Сыктывкар|Сыктывкар|04.11.2020 4:57:00|04.11.2020 7:38:00|
BY 9768|Боинг-747|292|Курумоч|Курумоч|Махачкала|Уйташ|04.11.2020 16:48:00|04.11.2020 21:20:00|
UR 0657|Ту-154 |81|Уфа|Уфа|Сабетта|Сабетта|04.11.2020 7:09:00|04.11.2020 9:38:00|
ZI 2449|Аэробус-A330|191|Владивосток|Кневичи|Москва|Жуковский|04.11.2020 18:48:00|04.11.2020 21:23:00|
IH 9000|Аэробус-A310|81|Элиста|Элиста|Магадан|Сокол|04.11.2020 7:11:00|04.11.2020 9:20:00|
SV 1056|Аэробус-A310|84|Братск|Братск|Новосибирск|Толмачёво|04.11.2020 16:15:00|04.11.2020 21:02:00|
LE 6173|Боинг-747|110|Нальчик|Нальчик|Мурманск|Мурманск|04.11.2020 7:51:00|04.11.2020 11:08:00|
UH 1799|Сc-100|38|Нижний Новгород|Стригино|Томск|Богашёво|04.11.2020 1:06:00|04.11.2020 5:42:00|
RU 1102|Аэробус-A330|177|Магнитогорск|Магнитогорск|Мурманск|Мурманск|04.11.2020 12:51:00|04.11.2020 16:22:00|
MO 1947|Ту-204|207|Магадан|Сокол|Якутск|Якутск|04.11.2020 1:20:00|04.11.2020 4:39:00|
KQ 8136|Боинг-777|204|Владикавказ|Беслан|Петрозаводск|Петрозаводск|04.11.2020 22:18:00|05.11.2020 0:53:00|
QR 4916|Боинг-767|133|Ярославль|Туношна|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 22:33:00|05.11.2020 1:07:00|
IN 9721|Боинг-747|191|Петрозаводск|Петрозаводск|Саранск|Саранск|04.11.2020 8:09:00|04.11.2020 9:46:00|
BV 8872|Аэробус-A320|81|Сочи|Адлер|Астрахань|Нариманово|04.11.2020 12:26:00|04.11.2020 16:53:00|
AA 2618|Аэробус-A320|243|Курск|Восточный|Астрахань|Нариманово|04.11.2020 20:21:00|04.11.2020 22:41:00|
CD 9440|Аэробус-A330|428|Симферополь|Симферополь|Барнаул|Барнаул|04.11.2020 12:08:00|04.11.2020 13:44:00|
LB 3584|ИЛ-86|182|Курумоч|Курумоч|Москва|Внуково|04.11.2020 5:54:00|04.11.2020 9:12:00|
DF 2579|ИЛ-96-300|153|Москва|Домодедово|Воронеж|Чертовицкое|04.11.2020 2:19:00|04.11.2020 5:54:00|
SL 9637|ИЛ-96М|430|Владивосток|Кневичи|Саратов|Гагарин|04.11.2020 12:46:00|04.11.2020 14:26:00|
SQ 9106|ИЛ-96М|383|Петрозаводск|Петрозаводск|Иркутск|Иркутск|04.11.2020 17:09:00|04.11.2020 19:13:00|
GK 7272|Сc-100|45|Южно - Сахалинск|Хомутово|Ростов - на - Дону|Платов|04.11.2020 11:01:00|04.11.2020 12:14:00|
DP 5377|Боинг-737|84|Нижневартовск|Нижневартовск|Нальчик|Нальчик|04.11.2020 11:17:00|04.11.2020 12:44:00|
SX 8841|ИЛ-96М|156|Воронеж|Чертовицкое|Хабаровск|Хабаровск-Новый|04.11.2020 5:52:00|04.11.2020 6:54:00|
IG 9434|Ту-154 |47|Волгоград|Гумрак|Владикавказ|Беслан|04.11.2020 5:15:00|04.11.2020 7:56:00|
QP 6012|Боинг-777|170|Тюмень|Рощино|Москва|Домодедово|04.11.2020 10:07:00|04.11.2020 11:49:00|
OF 9343|ИЛ-96-300|222|Москва|Жуковский|Калининград|Храброво|04.11.2020 16:00:00|04.11.2020 17:30:00|
QT 1265|Аэробус-A310|61|Владикавказ|Беслан|Москва|Шереметьево|04.11.2020 2:41:00|04.11.2020 7:31:00|
BA 4143|Ту-204|81|Петрозаводск|Петрозаводск|Архангельск|Талаги|04.11.2020 20:40:00|05.11.2020 1:14:00|
XJ 5090|Ту-154 |73|Томск|Богашёво|Нижнекамск|Бегишево|04.11.2020 13:46:00|04.11.2020 18:11:00|
FR 1351|Боинг-737|65|Орск|Орск|Майкоп|Майкоп|04.11.2020 23:06:00|05.11.2020 0:55:00|
JN 9504|Боинг-777|182|Томск|Богашёво|Москва|Внуково|04.11.2020 13:03:00|04.11.2020 16:06:00|
WJ 7099|ИЛ-86|235|Ульяновск|Восточный|Архангельск|Талаги|04.11.2020 22:15:00|05.11.2020 1:19:00|
KB 5226|Боинг-777|189|Москва|Домодедово|Братск|Братск|04.11.2020 7:13:00|04.11.2020 9:56:00|
RC 1775|ИЛ-62|59|Владивосток|Кневичи|Владикавказ|Беслан|04.11.2020 16:29:00|04.11.2020 19:22:00|
WZ 5799|ИЛ-86|214|Сочи|Адлер|Барнаул|Барнаул|04.11.2020 4:35:00|04.11.2020 6:11:00|
ME 7654|Боинг-747|188|Сургут|Сургут|Новосибирск|Толмачёво|04.11.2020 11:08:00|04.11.2020 13:28:00|
PM 5578|Аэробус-A330|374|Омск|Омск-Центральный|Иркутск|Иркутск|04.11.2020 3:38:00|04.11.2020 5:28:00|
PB 8370|Ту-154 |109|Петропавловск - Камчатский|Елизово|Екатеринбург|Кольцово|04.11.2020 5:31:00|04.11.2020 9:07:00|
UJ 9221|Аэробус-A320|180|Пермь|Большое Савино|Магнитогорск|Магнитогорск|04.11.2020 0:13:00|04.11.2020 2:35:00|
OB 3486|Боинг-777|119|Архангельск|Талаги|Чита|Кадала|04.11.2020 14:23:00|04.11.2020 18:34:00|
DQ 7772|Боинг-777|82|Оренбург|Оренбург-Центральный|Барнаул|Барнаул|04.11.2020 18:16:00|04.11.2020 19:18:00|
WQ 6758|Ту-204|124|Сабетта|Сабетта|Иркутск|Иркутск|04.11.2020 4:12:00|04.11.2020 6:35:00|
HG 3264|Боинг-767|148|Псков|Кресты|Провидения|Бухта Провидения|04.11.2020 18:49:00|04.11.2020 22:10:00|
ZU 2785|Ту-204|190|Оренбург|Оренбург-Центральный|Южно - Сахалинск|Хомутово|04.11.2020 15:16:00|04.11.2020 17:50:00|
ZU 3775|ИЛ-96М|256|Санкт - Петербург|Пулково|Москва|Шереметьево|04.11.2020 17:20:00|04.11.2020 19:47:00|
PA 5438|Боинг-777|228|Братск|Братск|Челябинск|Баландино|04.11.2020 3:53:00|04.11.2020 6:29:00|
