Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
SZ 0996|ИЛ-86|172|Анапа|Витязево|Варандей|Варандей|13.06.2021 21:35:00|14.06.2021 1:21:00|
QO 2582|Боинг-777|195|Петропавловск - Камчатский|Елизово|Нижний Новгород|Стригино|13.06.2021 10:54:00|13.06.2021 13:46:00|
KP 0542|Аэробус-A330|398|Волгоград|Гумрак|Москва|Жуковский|13.06.2021 9:51:00|13.06.2021 12:19:00|
JR 8682|ИЛ-96|104|Новосибирск|Толмачёво|Курумоч|Курумоч|13.06.2021 8:35:00|13.06.2021 9:56:00|
IW 4825|Ту-154 |95|Анадырь|Угольный|Абакан|Абакан|13.06.2021 7:26:00|13.06.2021 11:12:00|
KB 8898|Аэробус-A320|171|Петропавловск - Камчатский|Елизово|Улан - Удэ|Мухино|13.06.2021 21:55:00|14.06.2021 1:27:00|
TD 0166|Боинг-777|127|Череповец|Череповец|Петропавловск - Камчатский|Елизово|13.06.2021 10:20:00|13.06.2021 12:10:00|
CX 9615|Сc-100|41|Петрозаводск|Петрозаводск|Нижнекамск|Бегишево|13.06.2021 13:40:00|13.06.2021 17:45:00|
FB 5625|Боинг-767|179|Москва|Домодедово|Орск|Орск|13.06.2021 8:52:00|13.06.2021 11:13:00|
HS 3723|ИЛ-96М|344|Анапа|Витязево|Уфа|Уфа|13.06.2021 13:00:00|13.06.2021 16:44:00|
PK 4595|ИЛ-96-300|243|Грозный|Северный|Белгород|Белгород|13.06.2021 18:15:00|13.06.2021 20:44:00|
NS 6325|Аэробус-A330|380|Элиста|Элиста|Сыктывкар|Сыктывкар|13.06.2021 20:52:00|13.06.2021 22:41:00|
TT 0409|Аэробус-A320|179|Владикавказ|Беслан|Грозный|Северный|13.06.2021 3:51:00|13.06.2021 7:10:00|
VS 4435|ИЛ-96-300|247|Москва|Шереметьево|Барнаул|Барнаул|13.06.2021 1:38:00|13.06.2021 5:12:00|
QI 8496|Аэробус-A330|372|Курган|Курган|Красноярск|Емельяново|13.06.2021 19:42:00|13.06.2021 20:52:00|
XG 8724|ИЛ-96М|327|Саранск|Саранск|Курган|Курган|13.06.2021 8:32:00|13.06.2021 11:11:00|
IA 2709|Боинг-747|171|Ярославль|Туношна|Минеральные Воды|Минеральные Воды|13.06.2021 16:45:00|13.06.2021 18:56:00|
GT 7516|Аэробус-A330|233|Сургут|Сургут|Чебоксары|Чебоксары|13.06.2021 2:40:00|13.06.2021 6:54:00|
HE 9295|Боинг-747|190|Курск|Восточный|Красноярск|Емельяново|13.06.2021 11:34:00|13.06.2021 13:22:00|
CV 6811|Ту-134|93|Чита|Кадала|Магадан|Сокол|13.06.2021 20:10:00|13.06.2021 21:52:00|
ZC 0541|Ту-134|48|Минеральные Воды|Минеральные Воды|Саратов|Гагарин|13.06.2021 9:42:00|13.06.2021 12:24:00|
TB 8283|Боинг-777|222|Ставрополь|Шпаковское|Тюмень|Рощино|13.06.2021 16:58:00|13.06.2021 20:52:00|
MK 8671|Ту-154 |135|Ставрополь|Шпаковское|Анадырь|Угольный|13.06.2021 9:48:00|13.06.2021 14:01:00|
OF 9412|Ту-154 |130|Южно - Сахалинск|Хомутово|Варандей|Варандей|13.06.2021 3:43:00|13.06.2021 6:37:00|
GY 2904|ИЛ-96М|363|Екатеринбург|Кольцово|Москва|Внуково|13.06.2021 10:44:00|13.06.2021 15:35:00|
UH 6484|ИЛ-96|62|Якутск|Якутск|Москва|Шереметьево|13.06.2021 0:19:00|13.06.2021 3:59:00|
SV 9957|Боинг-767|125|Петрозаводск|Петрозаводск|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 13:46:00|13.06.2021 18:44:00|
MI 0114|Аэробус-A330|190|Ярославль|Туношна|Нижнекамск|Бегишево|13.06.2021 2:34:00|13.06.2021 4:34:00|
ZO 4572|Аэробус-A320|142|Южно - Сахалинск|Хомутово|Ростов - на - Дону|Платов|13.06.2021 19:12:00|13.06.2021 23:42:00|
LC 6670|Аэробус-A320|237|Москва|Внуково|Брянск|Брянск|13.06.2021 0:52:00|13.06.2021 3:11:00|
FJ 4438|ИЛ-96|89|Южно - Сахалинск|Хомутово|Петрозаводск|Петрозаводск|13.06.2021 20:02:00|13.06.2021 21:31:00|
IR 6062|Боинг-767|117|Ставрополь|Шпаковское|Уфа|Уфа|13.06.2021 12:20:00|13.06.2021 16:30:00|
QN 3323|Аэробус-A330|267|Саратов|Гагарин|Анадырь|Угольный|13.06.2021 21:31:00|13.06.2021 23:36:00|
NX 5728|Аэробус-A310|129|Сыктывкар|Сыктывкар|Нижнекамск|Бегишево|13.06.2021 5:23:00|13.06.2021 8:18:00|
XN 0779|Ту-154 |112|Тюмень|Рощино|Нижневартовск|Нижневартовск|13.06.2021 21:38:00|14.06.2021 0:11:00|
DP 6517|ИЛ-96-300|145|Курган|Курган|Варандей|Варандей|13.06.2021 15:00:00|13.06.2021 18:35:00|
LZ 2241|Боинг-767|204|Пермь|Большое Савино|Саратов|Гагарин|13.06.2021 8:58:00|13.06.2021 11:00:00|
BS 6126|Ту-154 |139|Курск|Восточный|Калининград|Храброво|13.06.2021 21:12:00|13.06.2021 23:49:00|
DB 1484|Аэробус-A330|166|Кемерово|Кемерово|Магнитогорск|Магнитогорск|13.06.2021 9:34:00|13.06.2021 10:45:00|
XL 6863|Аэробус-A310|162|Ульяновск|Баратаевка|Астрахань|Нариманово|13.06.2021 16:11:00|13.06.2021 20:34:00|
NB 8343|Ту-134|31|Псков|Кресты|Анадырь|Угольный|13.06.2021 14:07:00|13.06.2021 18:44:00|
BU 1603|ИЛ-96М|203|Чебоксары|Чебоксары|Махачкала|Уйташ|13.06.2021 4:25:00|13.06.2021 7:53:00|
GH 5684|ИЛ-62|194|Нижний Новгород|Стригино|Улан - Удэ|Мухино|13.06.2021 7:53:00|13.06.2021 12:20:00|
WG 0160|Боинг-737|91|Москва|Жуковский|Майкоп|Майкоп|13.06.2021 16:11:00|13.06.2021 21:06:00|
PJ 6056|Боинг-777|214|Саратов|Гагарин|Москва|Внуково|13.06.2021 11:59:00|13.06.2021 13:42:00|
TC 9348|Боинг-737|50|Казань|Казань|Ярославль|Туношна|13.06.2021 5:45:00|13.06.2021 9:29:00|
RJ 8128|ИЛ-96-300|236|Барнаул|Барнаул|Провидения|Бухта Провидения|13.06.2021 8:27:00|13.06.2021 10:37:00|
KN 9315|Ту-204|141|Хабаровск|Хабаровск-Новый|Чита|Кадала|13.06.2021 19:03:00|13.06.2021 23:52:00|
VS 7163|ИЛ-62|176|Нижний Новгород|Стригино|Курск|Восточный|13.06.2021 23:36:00|14.06.2021 1:16:00|
HG 3125|Боинг-767|96|Волгоград|Гумрак|Ульяновск|Баратаевка|13.06.2021 5:53:00|13.06.2021 10:20:00|
KH 1270|Ту-154 |79|Анадырь|Угольный|Абакан|Абакан|13.06.2021 2:55:00|13.06.2021 7:49:00|
MT 4160|Аэробус-A330|428|Чита|Кадала|Петрозаводск|Петрозаводск|13.06.2021 4:46:00|13.06.2021 8:42:00|
UR 8655|Сc-100|83|Санкт - Петербург|Пулково|Самара|Самара|13.06.2021 16:15:00|13.06.2021 19:43:00|
BF 8552|Ту-204|97|Омск|Омск-Центральный|Симферополь|Симферополь|13.06.2021 15:00:00|13.06.2021 16:56:00|
YT 9709|ИЛ-96-300|255|Ульяновск|Восточный|Чита|Кадала|13.06.2021 10:20:00|13.06.2021 12:58:00|
GK 1257|Боинг-767|248|Брянск|Брянск|Иркутск|Иркутск|13.06.2021 1:22:00|13.06.2021 2:37:00|
MH 5631|Аэробус-A320|143|Липецк|Липецк|Белгород|Белгород|13.06.2021 21:58:00|14.06.2021 1:40:00|
LX 6054|Сc-100|37|Курумоч|Курумоч|Нижнекамск|Бегишево|13.06.2021 0:15:00|13.06.2021 2:11:00|
BE 2098|ИЛ-86|299|Абакан|Абакан|Уфа|Уфа|13.06.2021 10:09:00|13.06.2021 13:22:00|
UK 0253|ИЛ-86|275|Белгород|Белгород|Благовещенск|Игнатьево|13.06.2021 7:05:00|13.06.2021 10:40:00|
JR 9214|ИЛ-96|73|Краснодар|Пашковский|Омск|Омск-Центральный|13.06.2021 2:14:00|13.06.2021 3:49:00|
WH 7692|Боинг-767|78|Волгоград|Гумрак|Оренбург|Оренбург-Центральный|13.06.2021 1:28:00|13.06.2021 6:04:00|
LN 4809|Ту-134|48|Волгоград|Гумрак|Иркутск|Иркутск|13.06.2021 23:43:00|14.06.2021 3:44:00|
ML 4919|Боинг-777|143|Калининград|Храброво|Саранск|Саранск|13.06.2021 1:23:00|13.06.2021 3:00:00|
RY 6458|Боинг-737|50|Сочи|Адлер|Нижнекамск|Бегишево|13.06.2021 17:29:00|13.06.2021 20:36:00|
TU 8837|Боинг-777|100|Казань|Казань|Владивосток|Кневичи|13.06.2021 14:11:00|13.06.2021 16:55:00|
RF 4423|ИЛ-96|163|Томск|Богашёво|Ростов - на - Дону|Платов|13.06.2021 16:38:00|13.06.2021 18:11:00|
BG 2264|Аэробус-A310|151|Саратов|Гагарин|Пермь|Большое Савино|13.06.2021 8:19:00|13.06.2021 10:39:00|
SM 8002|Ту-204|171|Краснодар|Пашковский|Симферополь|Симферополь|13.06.2021 6:16:00|13.06.2021 8:55:00|
WK 3422|Аэробус-A330|318|Архангельск|Талаги|Провидения|Бухта Провидения|13.06.2021 0:55:00|13.06.2021 5:42:00|
KC 3781|Боинг-767|250|Ярославль|Туношна|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 21:45:00|14.06.2021 1:16:00|
AF 4689|Боинг-777|110|Москва|Домодедово|Череповец|Череповец|13.06.2021 8:18:00|13.06.2021 10:49:00|
TH 7338|Ту-204|75|Петрозаводск|Петрозаводск|Красноярск|Емельяново|13.06.2021 7:30:00|13.06.2021 11:57:00|
TA 4074|Аэробус-A320|181|Тюмень|Рощино|Казань|Казань|13.06.2021 4:24:00|13.06.2021 8:37:00|
WM 7290|ИЛ-96-300|169|Южно - Сахалинск|Хомутово|Красноярск|Емельяново|13.06.2021 6:36:00|13.06.2021 9:46:00|
QH 5720|Ту-204|207|Сыктывкар|Сыктывкар|Омск|Омск-Центральный|13.06.2021 19:20:00|13.06.2021 20:56:00|
BJ 8335|Боинг-777|158|Улан - Удэ|Мухино|Волгоград|Гумрак|13.06.2021 8:20:00|13.06.2021 10:50:00|
OQ 3111|ИЛ-96-300|120|Москва|Шереметьево|Астрахань|Нариманово|13.06.2021 0:01:00|13.06.2021 1:07:00|
EI 8248|Боинг-767|211|Брянск|Брянск|Ульяновск|Восточный|13.06.2021 16:37:00|13.06.2021 21:21:00|
LJ 0141|ИЛ-96-300|230|Сыктывкар|Сыктывкар|Брянск|Брянск|13.06.2021 14:36:00|13.06.2021 17:23:00|
KV 9457|ИЛ-86|166|Мурманск|Мурманск|Самара|Самара|13.06.2021 16:33:00|13.06.2021 20:35:00|
DA 6116|Аэробус-A310|76|Москва|Шереметьево|Тюмень|Рощино|13.06.2021 5:15:00|13.06.2021 8:43:00|
CH 1212|Аэробус-A320|252|Иркутск|Иркутск|Архангельск|Талаги|13.06.2021 20:40:00|13.06.2021 22:51:00|
BI 6293|Аэробус-A320|201|Курумоч|Курумоч|Анапа|Витязево|13.06.2021 5:35:00|13.06.2021 10:25:00|
BQ 2206|Ту-204|205|Элиста|Элиста|Саратов|Гагарин|13.06.2021 3:10:00|13.06.2021 6:12:00|
AB 7237|ИЛ-96М|391|Сургут|Сургут|Калуга|Грабцево|13.06.2021 13:12:00|13.06.2021 17:36:00|
BJ 9159|Аэробус-A330|196|Магнитогорск|Магнитогорск|Псков|Кресты|13.06.2021 16:00:00|13.06.2021 20:55:00|
RD 3954|Ту-154 |97|Чебоксары|Чебоксары|Симферополь|Симферополь|13.06.2021 21:24:00|14.06.2021 0:59:00|
SW 1177|Ту-134|43|Сыктывкар|Сыктывкар|Омск|Омск-Центральный|13.06.2021 0:48:00|13.06.2021 2:30:00|
TD 3021|ИЛ-62|114|Петропавловск - Камчатский|Елизово|Архангельск|Талаги|13.06.2021 12:49:00|13.06.2021 16:35:00|
ER 3980|Аэробус-A330|411|Новокузнецк|Спиченково|Псков|Кресты|13.06.2021 2:13:00|13.06.2021 6:40:00|
MM 7393|Ту-204|123|Курск|Восточный|Пермь|Большое Савино|13.06.2021 3:50:00|13.06.2021 6:45:00|
XR 2806|ИЛ-62|69|Петропавловск - Камчатский|Елизово|Уфа|Уфа|13.06.2021 19:47:00|13.06.2021 23:27:00|
NW 2681|Боинг-747|171|Варандей|Варандей|Кемерово|Кемерово|13.06.2021 15:15:00|13.06.2021 16:44:00|
RK 2752|Ту-204|124|Кемерово|Кемерово|Петрозаводск|Петрозаводск|13.06.2021 15:41:00|13.06.2021 19:08:00|
FB 7319|ИЛ-96М|208|Махачкала|Уйташ|Барнаул|Барнаул|13.06.2021 3:41:00|13.06.2021 7:42:00|
NQ 0686|Аэробус-A310|169|Москва|Шереметьево|Провидения|Бухта Провидения|13.06.2021 18:50:00|13.06.2021 21:05:00|
GJ 2646|Боинг-777|106|Курумоч|Курумоч|Челябинск|Баландино|13.06.2021 14:46:00|13.06.2021 16:19:00|
KL 8761|Ту-154 |135|Краснодар|Пашковский|Владивосток|Кневичи|13.06.2021 7:37:00|13.06.2021 11:33:00|
QE 7020|ИЛ-96М|380|Майкоп|Майкоп|Чебоксары|Чебоксары|13.06.2021 23:41:00|14.06.2021 3:04:00|
FZ 5204|Боинг-767|203|Элиста|Элиста|Ульяновск|Восточный|13.06.2021 0:40:00|13.06.2021 1:45:00|
HZ 5259|Ту-154 |129|Орск|Орск|Улан - Удэ|Мухино|13.06.2021 12:37:00|13.06.2021 16:09:00|
HU 3288|Ту-154 |48|Сабетта|Сабетта|Магадан|Сокол|13.06.2021 6:00:00|13.06.2021 7:13:00|
CZ 0026|ИЛ-96|87|Минеральные Воды|Минеральные Воды|Сыктывкар|Сыктывкар|13.06.2021 7:04:00|13.06.2021 9:39:00|
WJ 8990|Аэробус-A320|159|Уфа|Уфа|Псков|Кресты|13.06.2021 9:39:00|13.06.2021 10:51:00|
TH 0932|ИЛ-62|121|Благовещенск|Игнатьево|Липецк|Липецк|13.06.2021 17:30:00|13.06.2021 20:49:00|
CU 3240|Сc-100|57|Тюмень|Рощино|Москва|Шереметьево|13.06.2021 3:43:00|13.06.2021 6:29:00|
UP 6906|ИЛ-96|79|Нижний Новгород|Стригино|Ставрополь|Шпаковское|13.06.2021 5:27:00|13.06.2021 8:02:00|
WX 9921|ИЛ-96|95|Екатеринбург|Кольцово|Минеральные Воды|Минеральные Воды|13.06.2021 1:40:00|13.06.2021 3:26:00|
PS 6318|Сc-100|94|Анапа|Витязево|Челябинск|Баландино|13.06.2021 20:07:00|13.06.2021 22:06:00|
RE 3341|Боинг-737|38|Якутск|Якутск|Москва|Внуково|13.06.2021 11:51:00|13.06.2021 13:32:00|
QI 1095|ИЛ-62|183|Иркутск|Иркутск|Южно - Сахалинск|Хомутово|13.06.2021 13:10:00|13.06.2021 16:36:00|
AU 4081|Боинг-747|95|Ярославль|Туношна|Липецк|Липецк|13.06.2021 22:54:00|14.06.2021 3:33:00|
NB 1401|ИЛ-96-300|259|Тюмень|Рощино|Челябинск|Баландино|13.06.2021 19:59:00|14.06.2021 0:48:00|
OC 3818|Ту-204|194|Симферополь|Симферополь|Новокузнецк|Спиченково|13.06.2021 14:57:00|13.06.2021 18:07:00|
PQ 1091|Ту-204|71|Орск|Орск|Махачкала|Уйташ|13.06.2021 18:49:00|13.06.2021 23:32:00|
PK 6536|Ту-134|90|Сургут|Сургут|Ярославль|Туношна|13.06.2021 16:06:00|13.06.2021 17:55:00|
RZ 0235|ИЛ-96-300|169|Тюмень|Рощино|Москва|Шереметьево|13.06.2021 20:47:00|14.06.2021 1:33:00|
KV 9745|Ту-154 |68|Москва|Жуковский|Мурманск|Мурманск|13.06.2021 5:09:00|13.06.2021 6:57:00|
MN 6504|Боинг-767|210|Архангельск|Талаги|Магнитогорск|Магнитогорск|13.06.2021 0:21:00|13.06.2021 5:17:00|
YP 4527|Боинг-737|63|Элиста|Элиста|Владивосток|Кневичи|13.06.2021 0:02:00|13.06.2021 3:14:00|
EQ 0637|Ту-134|42|Оренбург|Оренбург-Центральный|Нижневартовск|Нижневартовск|13.06.2021 20:14:00|13.06.2021 22:53:00|
PV 1658|ИЛ-96|112|Майкоп|Майкоп|Санкт - Петербург|Пулково|13.06.2021 18:52:00|13.06.2021 20:48:00|
DP 8086|ИЛ-96М|278|Магнитогорск|Магнитогорск|Чебоксары|Чебоксары|13.06.2021 18:21:00|13.06.2021 19:34:00|
YO 7685|ИЛ-62|171|Минеральные Воды|Минеральные Воды|Череповец|Череповец|13.06.2021 4:20:00|13.06.2021 7:53:00|
EK 0732|Боинг-737|39|Липецк|Липецк|Самара|Самара|13.06.2021 8:32:00|13.06.2021 12:17:00|
UL 9094|ИЛ-62|122|Курумоч|Курумоч|Барнаул|Барнаул|13.06.2021 15:43:00|13.06.2021 19:56:00|
TG 4046|Аэробус-A320|107|Нижнекамск|Бегишево|Уфа|Уфа|13.06.2021 9:39:00|13.06.2021 12:59:00|
DG 9864|Ту-154 |69|Курск|Восточный|Петрозаводск|Петрозаводск|13.06.2021 21:22:00|14.06.2021 2:18:00|
ZE 1454|Боинг-777|155|Барнаул|Барнаул|Казань|Казань|13.06.2021 15:16:00|13.06.2021 17:09:00|
ZV 5785|ИЛ-86|172|Череповец|Череповец|Санкт - Петербург|Пулково|13.06.2021 11:48:00|13.06.2021 14:30:00|
UH 6895|Аэробус-A320|162|Уфа|Уфа|Петрозаводск|Петрозаводск|13.06.2021 23:04:00|14.06.2021 1:09:00|
MJ 0433|Аэробус-A310|108|Курумоч|Курумоч|Кемерово|Кемерово|13.06.2021 16:34:00|13.06.2021 20:33:00|
PQ 6837|Аэробус-A310|76|Воронеж|Чертовицкое|Минеральные Воды|Минеральные Воды|13.06.2021 21:12:00|13.06.2021 23:12:00|
EH 7825|Аэробус-A320|181|Оренбург|Оренбург-Центральный|Саранск|Саранск|13.06.2021 6:29:00|13.06.2021 8:58:00|
RY 0539|ИЛ-62|90|Грозный|Северный|Сабетта|Сабетта|13.06.2021 20:01:00|13.06.2021 21:54:00|
UD 1721|Сc-100|34|Калуга|Грабцево|Анадырь|Угольный|13.06.2021 15:48:00|13.06.2021 16:52:00|
RB 1733|ИЛ-86|95|Петрозаводск|Петрозаводск|Москва|Внуково|13.06.2021 3:37:00|13.06.2021 4:54:00|
MN 0899|Боинг-747|94|Краснодар|Пашковский|Екатеринбург|Кольцово|13.06.2021 11:47:00|13.06.2021 14:37:00|
RI 2813|Аэробус-A330|227|Сыктывкар|Сыктывкар|Магнитогорск|Магнитогорск|13.06.2021 1:25:00|13.06.2021 3:51:00|
FK 2609|Ту-204|91|Волгоград|Гумрак|Краснодар|Пашковский|13.06.2021 1:22:00|13.06.2021 2:42:00|
ZM 9877|Боинг-777|209|Грозный|Северный|Барнаул|Барнаул|13.06.2021 17:44:00|13.06.2021 19:36:00|
XV 7159|ИЛ-96-300|183|Москва|Внуково|Волгоград|Гумрак|13.06.2021 19:36:00|13.06.2021 21:12:00|
FJ 2992|ИЛ-96-300|98|Петропавловск - Камчатский|Елизово|Сургут|Сургут|13.06.2021 7:56:00|13.06.2021 11:30:00|
OS 5365|Боинг-767|221|Владивосток|Кневичи|Краснодар|Пашковский|13.06.2021 10:58:00|13.06.2021 14:46:00|
EB 5371|Сc-100|67|Грозный|Северный|Майкоп|Майкоп|13.06.2021 13:13:00|13.06.2021 14:30:00|
DU 1104|ИЛ-62|189|Провидения|Бухта Провидения|Анапа|Витязево|13.06.2021 1:06:00|13.06.2021 4:22:00|
IK 3338|Ту-134|48|Волгоград|Гумрак|Пермь|Большое Савино|13.06.2021 14:16:00|13.06.2021 19:15:00|
RL 0109|Ту-154 |106|Архангельск|Талаги|Курумоч|Курумоч|13.06.2021 17:57:00|13.06.2021 19:41:00|
ML 7484|Сc-100|44|Ханты - Мансийск|Ханты - Мансийск|Оренбург|Оренбург-Центральный|13.06.2021 5:49:00|13.06.2021 6:54:00|
LY 7265|Боинг-767|93|Курск|Восточный|Оренбург|Оренбург-Центральный|13.06.2021 20:28:00|14.06.2021 1:21:00|
EQ 0296|ИЛ-96|74|Ханты - Мансийск|Ханты - Мансийск|Красноярск|Емельяново|13.06.2021 12:42:00|13.06.2021 16:33:00|
RW 7218|ИЛ-86|102|Калининград|Храброво|Ульяновск|Восточный|13.06.2021 18:45:00|13.06.2021 19:53:00|
YW 0619|Боинг-777|217|Магнитогорск|Магнитогорск|Воронеж|Чертовицкое|13.06.2021 4:38:00|13.06.2021 7:58:00|
JS 8892|Аэробус-A310|176|Махачкала|Уйташ|Ульяновск|Баратаевка|13.06.2021 7:05:00|13.06.2021 9:51:00|
QT 9812|ИЛ-96-300|252|Москва|Внуково|Магнитогорск|Магнитогорск|13.06.2021 1:14:00|13.06.2021 2:50:00|
JZ 8785|Аэробус-A310|124|Иркутск|Иркутск|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 4:25:00|13.06.2021 9:05:00|
FT 0827|ИЛ-96М|343|Ханты - Мансийск|Ханты - Мансийск|Томск|Богашёво|13.06.2021 23:30:00|14.06.2021 0:30:00|
BT 6207|Аэробус-A310|155|Провидения|Бухта Провидения|Улан - Удэ|Мухино|13.06.2021 3:37:00|13.06.2021 8:27:00|
LF 8727|ИЛ-96|87|Сургут|Сургут|Курган|Курган|13.06.2021 20:36:00|13.06.2021 22:12:00|
IK 4798|ИЛ-62|181|Курумоч|Курумоч|Москва|Домодедово|13.06.2021 21:00:00|14.06.2021 1:15:00|
PV 1839|Сc-100|46|Архангельск|Талаги|Томск|Богашёво|13.06.2021 2:31:00|13.06.2021 4:19:00|
EZ 1876|Боинг-767|163|Ханты - Мансийск|Ханты - Мансийск|Липецк|Липецк|13.06.2021 21:53:00|13.06.2021 23:59:00|
PW 0097|ИЛ-96-300|147|Орск|Орск|Варандей|Варандей|13.06.2021 21:58:00|14.06.2021 2:34:00|
AB 2666|ИЛ-96|136|Волгоград|Гумрак|Владивосток|Кневичи|13.06.2021 13:35:00|13.06.2021 15:07:00|
AB 8989|ИЛ-96-300|203|Ульяновск|Баратаевка|Волгоград|Гумрак|13.06.2021 0:57:00|13.06.2021 5:10:00|
IW 8562|Боинг-747|270|Екатеринбург|Кольцово|Анадырь|Угольный|13.06.2021 5:15:00|13.06.2021 8:57:00|
ID 6194|ИЛ-96-300|235|Москва|Внуково|Оренбург|Оренбург-Центральный|13.06.2021 11:37:00|13.06.2021 13:55:00|
NF 2572|Аэробус-A330|392|Курск|Восточный|Магадан|Сокол|13.06.2021 19:39:00|13.06.2021 22:50:00|
OL 2186|Аэробус-A330|170|Курумоч|Курумоч|Южно - Сахалинск|Хомутово|13.06.2021 1:39:00|13.06.2021 3:37:00|
GS 9843|Боинг-767|124|Красноярск|Емельяново|Магадан|Сокол|13.06.2021 15:38:00|13.06.2021 17:45:00|
QG 8918|ИЛ-96М|245|Варандей|Варандей|Сургут|Сургут|13.06.2021 14:13:00|13.06.2021 17:58:00|
CN 2251|Боинг-767|161|Самара|Самара|Казань|Казань|13.06.2021 21:25:00|14.06.2021 1:49:00|
DX 2036|ИЛ-96М|312|Петропавловск - Камчатский|Елизово|Варандей|Варандей|13.06.2021 7:44:00|13.06.2021 12:02:00|
